win,time,score,algo
win,21.07487404346466,1030,expectimax
win,15.624703049659729,1070,expectimax
lose,31.778085947036743,670,expectimax
win,18.87748897075653,1040,expectimax
lose,16.64499306678772,600,expectimax
win,11.915361046791077,1010,expectimax
lose,24.341728925704956,840,expectimax
lose,15.550453066825867,730,expectimax
lose,23.863770008087158,990,expectimax
lose,13.633774995803833,820,expectimax
lose,14.599757075309753,620,expectimax
lose,15.598932027816772,250,minimax
lose,18.94764804840088,540,minimax
lose,9.635401964187622,490,minimax
lose,18.73008096218109,650,minimax
lose,16.708250999450684,520,minimax
lose,25.65896499156952,790,minimax
lose,8.172575950622559,260,minimax
lose,18.91987705230713,790,minimax
win,18.696133017539978,1080,minimax
win,18.519983053207397,1000,minimax
lose,10.343413949012756,420,minimax
lose,6.690343022346497,360,minimax
